N,backend_name,case,circuit_depth,circuit_depth_t,converged,discretisation_order,err_alg,err_disc,hhl_epsilon,hhl_scale_c,hhl_trotter_steps,kappa,max_abs_err,max_rel_err,n_gates_2q,n_gates_total,n_qubits,n_timing_repeats,notes,phase_lookup_time_s,proportionality_residual,qsvt_alpha,qsvt_angle_method,qsvt_degree,qsvt_kappa_eff,qsvt_max_degree,qsvt_phases_cached,random_seed,rel_l2_err,residual,rms_err,solver,success_probability,vqls_final_cost,vqls_n_evaluations,vqls_n_layers,vqls_n_restarts,vqls_optimiser_success,wall_time_mean_s,wall_time_s,wall_time_std_s
8,aer_simulator_statevector (CPU),1D_Poisson_fS_hom,,69,True,2,0.00024555293590528026,0.010216075566190936,,,,32.16343747752634,0.0010292537550102981,1.0620549622257338,16,134,3,1,,,0.0002455512172555342,,,,,,,42,0.010218098006167022,0.0009894492072672813,0.0007764823384186906,VQLS,,9.790097340589554e-07,3000,8,6,True,,35.48150861891918,
8,aer_simulator_statevector (CPU),1D_Poisson_fS_hom,9847,1836286,True,2,3.911990884389671e-15,0.010216075566190936,,,,32.16343747752634,0.0010193792997251067,1.0216075566197917,388919,,3,1,,0.00013491406571120024,3.891897308186244e-15,3.8793852415718164,auto,4923,32.163437477526415,,True,,0.010216075566190638,1.0164065364831429e-13,0.0007763286514095011,QSVT,,,,,,,,2.7575864859391004,
8,aer_simulator_statevector (CPU),1D_Poisson_fL_hom,,,True,2,0.0,2.275507079535975e-16,,,,32.16343747752634,2.220446049250313e-16,4.335817419384315e-14,,,,10,,,3.0700904217156127e-16,,,,,,,,2.275507079535975e-16,9.610229927779262e-16,1.1102230246251565e-16,Thomas,,,,,,,4.884848603978753e-05,4.2621977627277374e-05,1.54179595446636e-05
8,aer_simulator_statevector (CPU),1D_Poisson_fL_hom,,43502,True,2,0.001710864652670165,2.275507079535975e-16,0.01,1.6574990717648497,100,32.16343747752634,0.0018224325358397464,0.5176181760885097,13360,64526,3,1,,,0.0015712861056816616,,,,,,,,0.001710864652670152,0.014347708539967722,0.0008347332102342047,HHL,,,,,,,,72.12437395600136,
8,aer_simulator_statevector (CPU),1D_Poisson_fL_hom,,69,True,2,5.627726291692053e-05,2.275507079535975e-16,,,,32.16343747752634,4.279870139550779e-05,0.010953470219326938,16,134,3,1,,,3.0090952110854938e-05,,,,,,,42,5.6277262916839236e-05,9.339157895025491e-05,2.74577537530226e-05,VQLS,,8.721987132531694e-09,9500,8,6,True,,104.31883060093969,
8,aer_simulator_statevector (CPU),1D_Poisson_fL_hom,9847,1836286,True,2,9.377096630567213e-05,2.275507079535975e-16,,,,32.16343747752634,6.616683391635902e-05,0.015394011180648535,388919,,3,1,,2.335000317543745e-05,4.003742538439887e-05,3.8793852415718164,auto,4923,32.163437477526415,,True,,9.377096630559363e-05,0.00014070445373066666,4.575098305343414e-05,QSVT,,,,,,,,2.8739267439814284,
8,aer_simulator_statevector (CPU),1D_Poisson_fH_hom,,,True,2,0.0,0.038801683098309725,,,,32.16343747752634,0.0013717421124828585,11.111111111111155,,,,10,,,0.021798496163778543,,,,,,,,0.038801683098309725,4.005225380218904e-16,0.0009391676226083056,Thomas,,,,,,,5.029640160501003e-05,4.73120016977191e-05,6.948573926476068e-06
8,aer_simulator_statevector (CPU),1D_Poisson_fH_hom,,43502,True,2,0.000610656731339669,0.038801683098309725,0.01,0.2983209460988228,100,32.16343747752634,0.0013705421402535247,11.10139133605355,13360,64526,3,1,,,0.021811572364220502,,,,,,,,0.03838298947203229,0.0017997141891354488,0.0009290334359907832,HHL,,,,,,,,66.78115700208582,
8,aer_simulator_statevector (CPU),1D_Poisson_fH_hom,,69,True,2,0.008193111718866618,0.038801683098309725,,,,32.16343747752634,0.0016402354024026618,13.285906759461561,16,134,3,1,,,0.023290577192918112,,,,,,,42,0.039703942987575014,0.0020011402697732114,0.0009610061926782989,VQLS,,4.004562379256171e-06,9500,8,6,True,,107.69548139104154,
8,aer_simulator_statevector (CPU),1D_Poisson_fH_hom,9847,1836286,True,2,5.634716599292033e-13,0.038801683098309725,,,,32.16343747752634,0.0013717421124800205,11.111111111088166,388919,,3,1,,1.784099731594324e-05,0.021798496163588046,3.8793852415718164,auto,4923,32.163437477526415,,True,,0.03880168309862352,1.5202940038861422e-12,0.0009391676226159008,QSVT,,,,,,,,3.3811262999661267,
16,aer_simulator_statevector (CPU),1D_Poisson_fS_nonhom,,,True,2,0.0,0.00014445701581433407,,,,116.46119157748775,0.00028761151763734283,0.021137856202214957,,,,10,,,6.244495707317154e-05,,,,,,,,0.00014445701581433407,3.8314233957164914e-16,0.00021052919590267783,Thomas,,,,,,,7.679708069190383e-05,6.685091648250818e-05,2.3305788472934375e-05
16,aer_simulator_statevector (CPU),1D_Poisson_fS_nonhom,,244449,True,2,0.053541032757383845,0.00014445701581433407,0.01,65.98401624231697,100,116.46119157748775,0.11156210326715854,7.279802589367974,76067,364218,4,1,,,0.018026384463419046,,,,,,,,0.053671355280867486,0.015240942268191648,0.07821971959334056,HHL,,,,,,,,113.66466513893101,
16,aer_simulator_statevector (CPU),1D_Poisson_fS_nonhom,,89,False,2,0.6368075980390175,0.00014445701581433407,,,,116.46119157748775,1.2962467065167165,90.80989859329932,30,240,4,1,,,0.5311644654290235,,,,,,,42,0.6368682184271911,0.061650236092548334,0.9281609007746319,VQLS,,0.003800751610266606,12500,10,8,False,,231.2334850289626,
16,aer_simulator_statevector (CPU),1D_Poisson_fS_nonhom,38579,40236862,True,2,7.690962442576792e-05,0.00014445701581433407,,,,116.46119157748775,0.00044095092086871013,0.03240782046852177,8564319,,4,1,,0.00014428398571908474,9.590765131656851e-05,3.965946199367804,auto,19289,116.46119157748629,,True,,0.00022135638150014484,6.85163544448306e-06,0.00032260102247334187,QSVT,,,,,,,,9.025045203976333,
8,aer_simulator_statevector (CPU),HET_1D_3a_linear_hom,,,True,2,0.0,2.0167869729911167e-15,,,,32.16343747752634,5.377642775528102e-17,4.200323125028541e-13,,,,10,,,2.0380498109931172e-15,,,,,,,,2.0167869729911167e-15,1.5036091166707998e-16,2.4563341393020286e-17,Thomas,,,,,,,5.620938027277589e-05,4.342093598097563e-05,2.2768049611471333e-05
8,aer_simulator_statevector (CPU),HET_1D_3a_linear_hom,,43502,True,2,0.002978493468598212,2.0167869729911167e-15,0.01,0.15153525451334995,100,32.16343747752634,4.524894849386625e-05,0.9895945035608571,13360,64526,3,1,,,0.001959117720558495,,,,,,,,0.0029784934685977873,0.00809154924239545,3.627639055876173e-05,HHL,,,,,,,,74.63367259700317,
8,aer_simulator_statevector (CPU),HET_1D_3a_linear_hom,,69,False,2,0.020971664658855586,2.0167869729911167e-15,,,,32.16343747752634,0.0003358618455020475,7.345298561129796,16,134,3,1,,,0.020969115113158583,,,,,,,42,0.02097166465885512,0.004907560411016417,0.00025542318821674857,VQLS,,2.4084149187642012e-05,9500,8,6,False,,106.34995077794883,
8,aer_simulator_statevector (CPU),HET_1D_3a_linear_hom,9847,1836286,True,2,7.556555284058101e-13,2.0167869729911167e-15,,,,32.16343747752634,1.3522169495239211e-14,1.095295729114375e-10,388919,,3,1,,0.0001448240363970399,4.192185036743782e-13,3.8793852415718164,auto,4923,32.163437477526415,,True,,7.560156154284086e-13,1.4575814162089088e-12,9.207848874926332e-15,QSVT,,,,,,,,2.1680247969925404,
8,aer_simulator_statevector (CPU),HET_1D_3b_gaussian_Vd300,,,True,2,0.0,,,,,32.16343747752634,,,,,,10,reference_no_exact,,,,,,,,,,,8.852824093092447e-16,,Thomas,,,,,,,5.845179548487067e-05,4.4891959987580776e-05,2.674287464295394e-05
8,aer_simulator_statevector (CPU),HET_1D_3b_gaussian_Vd300,,43502,True,2,0.0028609219423066552,,0.01,267403507.76405588,100,32.16343747752634,359444.7295919284,0.7134194969729994,13360,64526,3,1,rel_vs_thomas,,0.0015158797557431518,,,,,,,,0.0028609219423066552,0.01585253593082369,221244.28004607817,HHL,,,,,,,,51.6815072739264,
8,aer_simulator_statevector (CPU),HET_1D_3b_gaussian_Vd300,,69,True,2,0.0009211301019024567,,,,,32.16343747752634,110998.86074794829,0.21624063921076636,16,134,3,1,rel_vs_thomas,,0.0005104177749876416,,,,,,,42,0.0009211301019024567,0.00150309051345901,71233.948473221,VQLS,,2.259281091654408e-06,9500,8,6,True,,110.6081354750786,
8,aer_simulator_statevector (CPU),HET_1D_3b_gaussian_Vd300,9847,1836286,True,2,0.0001002371051953646,,,,,32.16343747752634,11385.8304836303,0.021695712695125692,388919,,3,1,rel_vs_thomas,0.005629734951071441,4.09953822591686e-05,3.8793852415718164,auto,4923,32.163437477526415,,True,,0.0001002371051953646,0.00014370102329080888,7751.657200046164,QSVT,,,,,,,,2.3826549199875444,
8,aer_simulator_statevector (CPU),HET_1D_3c_gaussian_NeumannDirichlet,,,True,2,0.0,0.0036114495847762145,,,,113.49524537812056,0.0010741540438607144,0.6950242804422815,,,,10,,,0.0032287816713628546,,,,,,,,0.0036114495847762145,1.895798639329945e-15,0.0006136405894237376,Thomas,,,,,,,5.556360119953752e-05,4.9461028538644314e-05,1.418757058477144e-05
8,aer_simulator_statevector (CPU),HET_1D_3c_gaussian_NeumannDirichlet,,43502,True,2,0.010925473633333217,0.0036114495847762145,0.01,0.7784872627006522,100,113.49524537812056,0.0024252824649675098,1.4105397788702332,13360,64526,3,1,,,0.0009057441061760863,,,,,,,,0.012285268910156409,0.00905392942343607,0.002087455321828794,HHL,,,,,,,,83.4261974300025,
8,aer_simulator_statevector (CPU),HET_1D_3c_gaussian_NeumannDirichlet,,69,False,2,0.8843130658138142,0.0036114495847762145,,,,113.49524537812056,0.20774697154457125,103.5284625829146,16,134,3,1,,,0.727785488509937,,,,,,,42,0.8846226502165205,0.5546099433841444,0.15031093519476388,VQLS,,0.30759218930056376,9500,8,6,False,,113.297433729982,
