N,backend_name,case,circuit_depth_t,converged,convergence_factor,discretisation_order,err_thomas_vs_exact,err_vs_thomas,hhl_scale_c,hhl_trotter_steps,inner_calls,inner_failures,inner_max_s,inner_mean_s,inner_options,inner_total_s,kappa_row,level_kappas,level_shapes,linf_err,max_abs_err,max_rel_err,mean_strip_size,n_circuit_evals,n_gates_2q,n_gates_total,n_jacobi_iters,n_levels,n_outer,notes,peak_E_field,peak_E_rel_err,qsvt_degree,qsvt_depth,rel_l2_err,residual,rms_err,s_per_strip_solve,scheme,solver,solves_per_digit,stop_reason,strip_solves,strip_solves_by_size,vqls_final_cost,wall_time_s,weighted_cost
8,,2D_HET_MMS_SPT100,41333,False,0.9841722679903744,,0.008858109024428398,0.772092131031771,115.86236625084621,,688,0,14.416194824501872,1.1353742871189836,"{""epsilon"": 0.01}",781.1375095378608,1.4951372845429236,"[1.4951, 1.4151]","[[8, 8], [4, 4]]",0.7749971376232493,2.254884343467026,2.8800479274207356,4.930232558139535,,10024,59476,9,2,9,,22441.896481360473,0.2062104568051453,,,0.005491409239752893,0.008181936677593486,0.8736778601324403,1.1354225779028047,fmg,HHL,11032.732716180275,stagnated,688,"{""4"": 528, ""8"": 160}",,781.1707335971296,263.5651009223711
8,,2D_HET_MMS_SPT100,69,False,0.8058334978892948,,0.008858109024428398,0.03583020213508225,,,752,0,5.567646125331521,1.8910028743706246,{},1422.0341615267098,1.4951372845429236,"[1.4951, 1.4151]","[[8, 8], [4, 4]]",0.044689665775912685,0.13002632239638956,0.12867876408594003,4.9361702127659575,263.6901595744681,16,134,10,2,10,,22398.113748495063,0.01071442341379437,,,0.0001631566299489119,0.000668206710560214,0.025958060872294447,1.8910491132558858,fmg,VQLS,802.0932647825582,stagnated,752,"{""4"": 576, ""8"": 176}",9.136921472817096e-09,1422.0689331684262,411.5557928646409
8,aer_simulator_statevector (CPU),2D_HET_MMS_SPT100,186880,True,0.1579707183853793,4,0.008858109024428398,4.962189162320863e-12,,,304,0,0.5872975327074528,0.24841795302314781,"{""max_degree"": 500}",75.51905771903694,1.4951372845429236,"[1.4951, 1.4151]","[[8, 8], [4, 4]]",0.008858109024897285,0.025773013064565475,0.025505908394523345,4.842105263157895,,39581,,3,2,3,,22397.06297174154,0.00602255806301324,501,1003,5.17345688466739e-05,2.2974548974035756e-05,0.00823091950198022,0.24847708203780808,fmg,QSVT,126.44169419852356,tol_met,304,"{""4"": 240, ""8"": 64}",,75.53703293949366,222.3409492927473
8,aer_simulator_statevector (CPU),2D_Poisson_TwoGaussian_PlasmaNet,,True,0.0964028598812716,4,0.8344410525125849,0.0,,,304,0,0.00014391541481018066,3.925810175898828e-05,{},0.011934462934732437,2.9115272727268318,"[2.9115, 2.4909]","[[8, 8], [4, 4]]",0.8344410525125849,2.4054438389511006,1.1796617021716325,4.842105263157895,,,,3,2,3,,106678.36012141716,1.3703891709970906,,,0.004189854573690152,5.433199829821568e-05,0.6681004925600607,7.252614504020465e-05,fmg,Thomas,99.74636054265153,tol_met,304,"{""4"": 240, ""8"": 64}",,0.022047948092222214,184.0
8,,2D_Poisson_TwoGaussian_PlasmaNet,41421,False,0.9846369045687795,,0.8344410525125849,4.4752647380206305,133.18784861081042,,688,0,8.300639415159822,2.381471452305938,"{""epsilon"": 0.01}",1638.4523591864854,2.9115272727268318,"[2.9115, 2.4909]","[[8, 8], [4, 4]]",4.594599286372237,13.244854759451727,23.65359250929261,4.930232558139535,,10024,59438,9,2,9,,107408.23783471959,2.0781419944680644,,,0.04143308526280866,0.11785230322271249,6.6066032648577355,2.381519037810544,fmg,HHL,11369.078925152928,stagnated,688,"{""4"": 528, ""8"": 160}",,1638.4850980136544,263.5651009223711
8,,2D_Poisson_TwoGaussian_PlasmaNet,69,False,0.7134755768444883,,0.8344410525125849,0.050083649519400184,,,688,0,5.43538155965507,1.6475289570692884,{},1133.4999224636704,2.9115272727268318,"[2.9115, 2.4909]","[[8, 8], [4, 4]]",0.8491321471695268,2.4477938683792786,1.1964757695651091,4.930232558139535,247.79796511627907,16,134,9,2,9,,106696.30936786447,1.401542726157098,,,0.0042085936732007825,0.002920316581257518,0.6710701972943807,1.6475722452809731,fmg,VQLS,521.3748539118501,stagnated,688,"{""4"": 528, ""8"": 160}",4.3394685842106837e-08,1133.5297047533095,375.9261434592542
8,aer_simulator_statevector (CPU),2D_Poisson_TwoGaussian_PlasmaNet,186880,True,0.09640285998133472,4,0.8344410525125849,1.491116527960912e-11,,,304,0,0.5599825344979763,0.23303968272490524,"{""max_degree"": 500}",70.8440635483712,2.9115272727268318,"[2.9115, 2.4909]","[[8, 8], [4, 4]]",0.8344410525212809,2.4054438389761685,1.1796617021521039,4.842105263157895,,39581,,3,2,3,,106678.36012142687,1.3703891710063139,501,1003,0.004189854573718426,5.4331998467309766e-05,0.6681004925645692,0.23309266235752912,fmg,QSVT,99.74636058691141,tol_met,304,"{""4"": 240, ""8"": 64}",,70.86016935668886,222.3409492927473
16,aer_simulator_statevector (CPU),2D_HET_MMS_SPT100,,True,0.1314147654119168,4,0.007512910573311355,0.0,,,400,0,0.00013203173875808716,4.1127880103886126e-05,{},0.01645115204155445,1.5224680684373313,"[1.5225, 1.4951, 1.4151]","[[16, 16], [8, 8], [4, 4]]",0.007512910573311355,0.02234684935081077,0.01804438124845275,7.52,,,,2,3,2,,23229.25111056963,0.0009094520589997326,,,4.8879297533172495e-05,8.082970807892168e-05,0.00755754399882236,7.630316074937582e-05,fmg,Thomas,226.92310172681726,tol_met,400,"{""4"": 240, ""8"": 64, ""16"": 96}",,0.030521264299750328,188.0
16,,2D_HET_MMS_SPT100,401083,False,0.9723659233160679,,0.007512910573311355,0.5026720703438317,186.65823711154354,,1072,0,20.374767372384667,4.736705513888233,"{""epsilon"": 0.01}",5077.748310888186,1.5224680684373313,"[1.5225, 1.4951, 1.4151]","[[16, 16], [8, 8], [4, 4]]",0.5047880582018971,1.5014717106840507,3.1665302897291316,8.238805970149254,,98177,569838,9,3,9,,23224.24943827246,0.020622528292715724,,,0.002587446001688943,0.005123373702910286,0.40006174370796016,4.736755163179461,fmg,HHL,9787.056190156602,stagnated,1072,"{""4"": 576, ""8"": 176, ""16"": 320}",,5077.801534928381,376.6822997476655
16,,2D_HET_MMS_SPT100,89,False,0.9423088751787045,,0.007512910573311355,0.14477836216710407,,,1360,0,42.91534817777574,11.113292351460961,{},15114.077597986907,1.5224680684373313,"[1.5225, 1.4951, 1.4151]","[[16, 16], [8, 8], [4, 4]]",0.14732400395670406,0.43820930517580337,0.5306068441268481,8.329411764705883,881.1375,30,240,12,3,12,,23204.042600130648,0.10761208218377938,,,0.0007527737219751928,0.0026546828716491376,0.11639120879598984,11.113340107232387,fmg,VQLS,4391.6212592152515,stagnated,1360,"{""4"": 720, ""8"": 224, ""16"": 416}",7.951966223143484e-08,15114.142545836046,628.0185104892216
