N,backend_name,case,circuit_depth_t,converged,convergence_factor,discretisation_order,err_thomas_vs_exact,err_vs_thomas,hhl_scale_c,hhl_trotter_steps,inner_calls,inner_failures,inner_max_s,inner_mean_s,inner_options,inner_total_s,kappa_row,level_kappas,level_shapes,linf_err,max_abs_err,max_rel_err,mean_strip_size,n_circuit_evals,n_gates_2q,n_gates_total,n_jacobi_iters,n_levels,n_outer,notes,peak_E_field,peak_E_rel_err,qsvt_degree,qsvt_depth,rel_l2_err,residual,rms_err,s_per_strip_solve,scheme,solver,solves_per_digit,stop_reason,strip_solves,strip_solves_by_size,vqls_final_cost,wall_time_s,weighted_cost
8,aer_simulator_statevector (CPU),2D_Poisson_sin_hom,,True,0.05459167132592432,2,1.0216112343564234,0.0,,,368,0,0.00015432573854923248,5.042115125157263e-05,{},0.018554983660578728,2.7724909572588574,"[2.7725, 2.3586]","[[8, 8], [4, 4]]",1.0216112343564234,0.0005019481257968195,1.0216112343564234,4.869565217391305,,,,4,2,4,,0.1367502916423672,1.0216154753051936,,,0.010216097009076353,1.0899627716920402e-07,0.0002911238553275333,7.479868667281193e-05,fmg,Thomas,72.84972882820693,tol_met,368,"{""4"": 288, ""8"": 80}",,0.027525916695594788,224.0
8,aer_simulator_statevector (CPU),2D_Poisson_sin_hom,22124,False,0.9096208623773354,2,1.021491967652916,0.06372475046257951,0.022034143083703682,100,688,0,1.8233551364392042,0.6135784139109473,"{""epsilon"": 0.01}",422.1419487707317,2.7724909572588574,"[2.7725, 2.3586]","[[8, 8], [4, 4]]",1.0086205043078578,0.00049556539195314,1.1373875311964743,4.930232558139535,,6836,33061,9,2,9,,0.13712029036430465,1.2949448274039053,,,0.010179355105088208,0.006860103911897393,0.0002900768366146531,0.6136315462563924,fmg,HHL,1858.1723587007402,stagnated,688,"{""4"": 528, ""8"": 160}",,422.1785038243979,263.5651009223711
8,aer_simulator_statevector (CPU),2D_Poisson_sin_hom,69,False,0.8446738905061222,2,1.021491967652916,0.04835925642887005,,,688,0,5.483084535226226,1.6098098492054917,{},1107.5491762533784,2.7724909572588574,"[2.7725, 2.3586]","[[8, 8], [4, 4]]",1.0283273522217142,0.000505247955185674,1.0909689251153862,4.930232558139535,235.37790697674419,16,134,9,2,9,,0.1368425847467607,1.0897952092646965,,,0.010223953292861876,0.002707123951847845,0.00029134773256970874,1.6098490094354505,fmg,VQLS,1042.7428007322194,stagnated,688,"{""4"": 528, ""8"": 160}",2.530207948940309e-08,1107.57611849159,375.9261434592542
8,aer_simulator_statevector (CPU),2D_Poisson_sin_hom,186880,True,0.054591671154317234,2,1.0216112343564234,4.823051223200653e-13,,,368,0,0.47494007647037506,0.26655804153288837,"{""max_degree"": 500}",98.09335928410292,2.7724909572588574,"[2.7725, 2.3586]","[[8, 8], [4, 4]]",1.0216112343565789,0.0005019481257968958,1.0216112343565789,4.869565217391305,,39581,,4,2,4,,0.1367502916423676,1.0216154753054807,501,1003,0.010216097009076573,1.089962757987469e-07,0.0002911238553275396,0.2666061837023691,fmg,QSVT,72.84972874945501,tol_met,368,"{""4"": 288, ""8"": 80}",,98.11107560247183,270.0091391512968
8,aer_simulator_statevector (CPU),2D_Poisson_SingleMode_n1m1,,True,0.05459167132592432,2,1.0216112343564234,0.0,,,368,0,0.00018123537302017212,5.077860196647437e-05,{},0.018686525523662567,2.7724909572588574,"[2.7725, 2.3586]","[[8, 8], [4, 4]]",1.0216112343564234,0.0005019481257968195,1.0216112343564234,4.869565217391305,,,,4,2,4,,0.1367502916423672,1.0216154753051936,,,0.010216097009076398,1.0899627716920402e-07,0.00029112385532753456,7.541110718865757e-05,fmg,Thomas,72.84972882820693,tol_met,368,"{""4"": 288, ""8"": 80}",,0.027751287445425987,224.0
8,aer_simulator_statevector (CPU),2D_Poisson_SingleMode_n1m1,22124,False,0.9096208623773354,2,1.021491967652916,0.06372475046257951,0.022034143083703682,100,688,0,2.7172549478709698,0.8233206026570135,"{""epsilon"": 0.01}",566.4445746280253,2.7724909572588574,"[2.7725, 2.3586]","[[8, 8], [4, 4]]",1.0086205043078578,0.00049556539195314,1.1373875311964585,4.930232558139535,,6836,33061,9,2,9,,0.13712029036430465,1.2949448274039053,,,0.010179355105088253,0.006860103911897393,0.00029007683661465435,0.823387061730352,fmg,HHL,1858.1723587007402,stagnated,688,"{""4"": 528, ""8"": 160}",,566.4902984704822,263.5651009223711
8,aer_simulator_statevector (CPU),2D_Poisson_SingleMode_n1m1,69,False,0.8446738905061222,2,1.021491967652916,0.04835925642887005,,,688,0,5.598791455850005,1.6551996505234476,{},1138.777359560132,2.7724909572588574,"[2.7725, 2.3586]","[[8, 8], [4, 4]]",1.0283273522217142,0.000505247955185674,1.0909689251153694,4.930232558139535,235.37790697674419,16,134,9,2,9,,0.1368425847467607,1.0897952092646965,,,0.01022395329286192,0.002707123951847845,0.00029134773256971,1.6552458862600805,fmg,VQLS,1042.7428007322194,stagnated,688,"{""4"": 528, ""8"": 160}",2.530207948940309e-08,1138.8091697469354,375.9261434592542
8,aer_simulator_statevector (CPU),2D_Poisson_SingleMode_n1m1,186880,True,0.054591671154317234,2,1.0216112343564234,4.823051223200653e-13,,,368,0,0.4917427711188793,0.2663772695232183,"{""max_degree"": 500}",98.02683518454432,2.7724909572588574,"[2.7725, 2.3586]","[[8, 8], [4, 4]]",1.0216112343565789,0.0005019481257968958,1.0216112343565789,4.869565217391305,,39581,,4,2,4,,0.1367502916423676,1.0216154753054807,501,1003,0.01021609700907662,1.089962757987469e-07,0.0002911238553275409,0.26642619638764503,fmg,QSVT,72.84972874945501,tol_met,368,"{""4"": 288, ""8"": 80}",,98.04484027065337,270.0091391512968
8,aer_simulator_statevector (CPU),2D_Poisson_TwoGaussian_PlasmaNet,,True,0.06623787322237308,2,4.046810721596226,0.0,,,368,0,0.00014732219278812408,4.8863387707134954e-05,{},0.017981726676225662,2.772490957258859,"[2.7725, 2.3586]","[[8, 8], [4, 4]]",4.046810721596226,11.665744258811003,4.046810721596226,4.869565217391305,,,,4,2,4,,111961.6950157239,6.390842370193382,,,0.020982043786610304,8.71614121095703e-07,3.3457280061166563,7.282906090435775e-05,fmg,Thomas,78.0392720832438,tol_met,368,"{""4"": 288, ""8"": 80}",,0.02680109441280365,224.0
8,aer_simulator_statevector (CPU),2D_Poisson_TwoGaussian_PlasmaNet,22124,False,0.9628044637510692,2,4.047198308078106,2.5226916328085327,137.34179679870624,100,688,0,1.8731941748410463,0.626096539009839,"{""epsilon"": 0.01}",430.7544188387692,2.772490957258859,"[2.7725, 2.3586]","[[8, 8], [4, 4]]",2.9115143961220444,8.393024702081732,16.989122489102474,4.930232558139535,,6836,33061,9,2,9,,110675.5001864519,5.183267606774698,,,0.025209216709603077,0.055285953100904575,4.019669120987879,0.626144134748164,fmg,HHL,4643.7180160522585,stagnated,688,"{""4"": 528, ""8"": 160}",,430.7871647067368,263.5651009223711
8,aer_simulator_statevector (CPU),2D_Poisson_TwoGaussian_PlasmaNet,69,False,0.7644930286501322,2,4.047198308078106,0.047137760522998215,,,816,0,5.479263057932258,1.6530005622805808,{},1348.848458820954,2.772490957258859,"[2.7725, 2.3586]","[[8, 8], [4, 4]]",4.052159635885073,11.681163577985728,4.052159635885073,4.9411764705882355,240.9375,16,134,11,2,11,,112040.6781559278,6.480699102022956,,,0.021021756739200537,0.0023461681191288756,3.351968742499405,1.6530383819686796,fmg,VQLS,636.0633040241785,stagnated,816,"{""4"": 624, ""8"": 192}",3.8579216398290814e-08,1348.8793196864426,447.1854422700277
