dim,order,case,N_coarse,N_fine,err_disc_coarse_pct,err_disc_fine_pct,p_observed,note
2,2,2D_Poisson_TwoGaussian_PlasmaNet,32,64,0.31116327169595215,0.07942778925210146,1.96995602736523,
2,2,2D_Poisson_TwoGaussian_PlasmaNet,64,128,0.07942778925210146,0.020227614268201938,1.9733176764297606,
2,2,2D_Poisson_TwoGaussian_PlasmaNet,128,256,0.020227614268201938,0.005119826495853411,1.9821593471337706,
2,2,2D_Poisson_sin_hom,4,8,3.3558332053311477,1.0216112343564234,1.715824716289942,
2,2,2D_Poisson_sin_hom,8,16,1.0216112343564234,0.285079201982455,1.8414115990457123,
2,2,2D_Poisson_sin_hom,16,32,0.285079201982455,0.07556067766416402,1.9156552452990387,
2,2,2D_Poisson_sin_hom,32,64,0.07556067766416402,0.019469347124370116,1.956431134326332,
2,2,2D_Poisson_sin_hom,64,128,0.019469347124370116,0.004942656262273413,1.977846023585617,
2,2,2D_Poisson_sin_hom,128,256,0.004942656262273413,0.0012452694741924579,1.9888286047099686,
2,4,2D_HET_MMS_SPT100,4,8,0.11945617416376338,0.008858109024428398,3.7533388582202716,
2,4,2D_HET_MMS_SPT100,8,16,0.008858109024428398,0.007512910573311355,0.23762682396158322,
2,4,2D_HET_MMS_SPT100,16,32,0.007512910573311355,0.004320362465498701,0.7982195746011425,
2,4,2D_HET_Sin_MeetingReport,4,8,0.1673057091202023,0.016465254032062112,3.3449900009177638,
2,4,2D_HET_Sin_MeetingReport,8,16,0.016465254032062112,0.0014503204606805898,3.504981154185378,
2,4,2D_HET_Sin_MeetingReport,16,32,0.0014503204606805898,0.00032136162795063023,2.1741021312247693,
2,4,2D_Poisson_SingleMode_n1m1,4,8,0.16706179402007462,0.01644109707853687,3.3450033606158236,
2,4,2D_Poisson_SingleMode_n1m1,8,16,0.01644109707853687,0.0015548183308181393,3.4024886432014827,
2,4,2D_Poisson_SingleMode_n1m1,16,32,0.0015548183308181393,0.0005971562064071063,1.3805657501464015,
2,4,2D_Poisson_TwoGaussian_PlasmaNet,4,8,4.396088045417736,0.8344410525125849,2.3973382391820452,
2,4,2D_Poisson_TwoGaussian_PlasmaNet,8,16,0.8344410525125849,0.09342759259349394,3.158889538045254,
2,4,2D_Poisson_TwoGaussian_PlasmaNet,16,32,0.09342759259349394,0.01682580516832114,2.4731731495698765,
2,4,2D_Poisson_sin_hom,4,8,0.16706179402007462,0.01644109707853687,3.3450033606158236,
2,4,2D_Poisson_sin_hom,8,16,0.01644109707853687,0.0015548183308181395,3.4024886432014827,
2,4,2D_Poisson_sin_hom,16,32,0.0015548183308181395,0.0005971562064071063,1.3805657501464015,
3,2,3D_HET_MMS_SPT100,4,8,3.6899277865840587,1.103254536131473,1.7418269033240148,
3,2,3D_HET_MMS_SPT100,8,16,1.103254536131473,0.30494741570774186,1.855133284221766,
3,2,3D_HET_MMS_SPT100,16,32,0.30494741570774186,0.08044336369121823,1.9225151763148602,
3,2,3D_HET_MMS_SPT100,32,64,0.08044336369121823,0.020681174010366524,1.959655322738556,
3,2,3D_HET_RotatingSpoke_SPT100,4,8,4.442409572335141,1.3426155917380076,1.7262961081300388,
3,2,3D_HET_RotatingSpoke_SPT100,8,16,1.3426155917380076,0.3680659468398423,1.8670101175355673,
3,2,3D_HET_RotatingSpoke_SPT100,16,32,0.3680659468398423,0.09642844164681584,1.9324336405286489,
3,2,3D_HET_RotatingSpoke_SPT100,32,64,0.09642844164681584,0.02469083276592848,1.9654832371494333,
3,2,3D_Laplace_BCdriven_cube,4,8,4.078268885848402,0.8929083468625939,2.1913728956272402,
3,2,3D_Laplace_BCdriven_cube,8,16,0.8929083468625939,0.2011151227495569,2.1504905281653564,
3,2,3D_Laplace_BCdriven_cube,16,32,0.2011151227495569,0.04715208955808131,2.0926279575780473,
3,2,3D_Laplace_BCdriven_cube,32,64,0.04715208955808131,0.0114262520798614,2.0449694424007623,
3,2,3D_Poisson_HighMode_n2m3l4,4,8,50.28485074792308,13.23305455282395,1.925977712878326,
3,2,3D_Poisson_HighMode_n2m3l4,8,16,13.23305455282395,3.5304205363909498,1.9062341640441975,
3,2,3D_Poisson_HighMode_n2m3l4,16,32,3.5304205363909498,0.9239534920283293,1.9339479052610509,
3,2,3D_Poisson_HighMode_n2m3l4,32,64,0.9239534920283293,0.23728057276833575,1.9612262487963699,
3,2,3D_Poisson_TripleSin_cube,4,8,3.355867146788807,1.021609868539528,1.7158412366501719,
3,2,3D_Poisson_TripleSin_cube,8,16,1.021609868539528,0.28508354027531985,1.8413877157189973,
3,2,3D_Poisson_TripleSin_cube,16,32,0.28508354027531985,0.07556029117103875,1.915684579259344,
3,2,3D_Poisson_TripleSin_cube,32,64,0.07556029117103875,0.019462704028902447,1.956916097894257,
