solver,xi,z_mm,phi_code,E_axial_code_per_mm,phi_exact_code
VQLS,0.33333333333333337,13.333333333333336,-1846035.3926213814,40995.363569370704,75190054.6704621
VQLS,0.36363636363636365,14.545454545454545,-1773994.4412709756,-207225.6717440721,81686919.7158857
VQLS,0.3939393939393939,15.757575757575758,-1343670.1277872664,-501352.30910277716,87905764.09579219
VQLS,0.42424242424242425,16.969696969696972,-558594.90405212,-770566.2547980684,93697638.84230763
VQLS,0.4545454545454546,18.181818181818183,524369.277783809,-990592.5244781063,98871221.594619
VQLS,0.48484848484848486,19.393939393939394,1842841.5189251052,-1112354.6991431874,103200562.29153247
VQLS,0.5151515151515151,20.606060606060606,3220986.7302521397,-1065724.9169321372,106442934.21847877
VQLS,0.5454545454545454,21.818181818181817,4426417.075124224,-840233.5150251244,108365701.38058831
VQLS,0.5757575757575758,23.03030303030303,5257916.463646381,-487373.53661247366,108777875.74988621
VQLS,0.6060606060606061,24.242424242424242,5607928.679033252,-58160.126847867854,107559524.35239871
VQLS,0.6363636363636364,25.454545454545457,5398910.710550302,396093.18832625495,104681644.70842879
VQLS,0.6666666666666667,26.66666666666667,4647702.767939299,799687.1404397467,100211122.36157987
VQLS,0.696969696969697,27.878787878787882,3460275.2185751577,1082033.9953930164,94299384.96670069
VQLS,0.7272727272727273,29.09090909090909,2024590.0518350243,1192135.2348512332,87157900.08233699
VQLS,0.7575757575757576,30.303030303030305,570250.4068145953,1146941.875100897,79026997.15498179
VQLS,0.7878787878787878,31.515151515151516,-755875.0999247279,1004242.9284924448,70145473.70921305
VQLS,0.8181818181818182,32.72727272727273,-1864277.9046822386,797394.6679583346,60726995.42220414
VQLS,0.8484848484848485,33.939393939393945,-2688953.082854026,529986.0234797165,50946331.00292002
VQLS,0.8787878787878788,35.15151515151515,-3149092.5070573115,164349.45203172904,40935308.95585395
VQLS,0.9090909090909092,36.36363636363637,-3087375.9968703324,-282997.41514273174,30786137.159184154
VQLS,0.9393939393939394,37.575757575757585,-2463038.1673173523,-716329.9537625146,20558843.18655235
VQLS,0.9696969696969697,38.78787878787879,-1350818.533203637,-917581.1981438213,10289893.432556232
QSVT,0.030303030303030304,1.2121212121212122,6872473.651510467,-5669495.908047033,6872416.55124666
QSVT,0.06060606060606061,2.4242424242424243,13744589.903688688,-5669429.106194884,13744481.813769044
QSVT,0.09090909090909091,3.6363636363636362,20616544.21198291,-5669184.266120237,20616396.728229046
QSVT,0.12121212121212122,4.848484848484849,27488066.912465017,-5668551.630767273,27487896.066650562
QSVT,0.15151515151515152,6.0606060606060606,34358487.55929751,-5666990.767202564,34358312.27681306
QSVT,0.18181818181818182,7.2727272727272725,41226226.34810759,-5663332.227536678,41226066.62213748
QSVT,0.21212121212121213,8.484848484848486,48087777.80787128,-5655213.656176496,48087652.6198961
QSVT,0.24242424242424243,9.696969696969697,54935835.21156577,-5638187.987510718,54935760.52620517
QSVT,0.2727272727272727,10.909090909090908,61756112.32304877,-5604473.025552172,61756099.14830301
QSVT,0.30303030303030304,12.121212121212121,68522436.48563163,-5541453.034451701,68522489.47874758
QSVT,0.33333333333333337,13.333333333333336,75189937.86111353,-5430278.6443489455,75190054.6704621
QSVT,0.36363636363636365,14.545454545454545,81686748.35071997,-5245191.234736655,81686919.7158857
QSVT,0.3939393939393939,15.757575757575758,87905552.97562662,-4954396.274362415,87905764.09579219
QSVT,0.42424242424242425,16.969696969696972,93697405.98553798,-4523240.775173254,93697638.84230763
QSVT,0.4545454545454546,18.181818181818183,98870985.1578648,-3919959.1839295253,98871221.594619
QSVT,0.48484848484848486,19.393939393939394,103200337.34051864,-3123344.7980304435,103200562.29153247
