order,case,N,kappa,degree,max_degree,degree_over_kappa,residual,err_alg_pct,eigenvector_rhs
2,HET_1D_3b_gaussian_Vd300,32,440.6885603836567,5001,5000,11.348150257511124,1.5694903550805975e-05,0.00025109347532462724,False
2,HET_1D_3c_gaussian_NeumannDirichlet,32,1708.6637113721217,5001,5000,2.926848604974473,0.035440705991200784,3.722279121091016,False
2,1D_Poisson_fS_hom,64,1711.66137582602,5001,5000,2.9217227604885334,6.968997763352309e-12,3.4815346751542103e-11,True
2,1D_Poisson_fL_hom,64,1711.66137582602,5001,5000,2.9217227604885334,0.10384196575392914,4.434633255353434,False
2,1D_Poisson_fH_hom,64,1711.66137582602,5001,5000,2.9217227604885334,0.09712904249085837,2.9585873302284873,False
2,HET_1D_3a_linear_hom,64,1711.66137582602,5001,5000,2.9217227604885334,0.14479055650866562,9.791352614767696,False
2,HET_1D_3b_gaussian_Vd300,64,1711.66137582602,5001,5000,2.9217227604885334,0.07642675504304736,3.091798974916843,False
2,HET_1D_3c_gaussian_NeumannDirichlet,64,6740.677204246312,5001,5000,0.7419135864938917,0.7874682072259884,19.980539556732783,False
4,1D_Poisson_fS_nonhom,4,11.947710174364115,1611,,134.8375526765522,0.00031234384156672215,0.06479128419618083,False
4,HET_1D_3a_linear_hom,4,11.947710174364115,1611,,134.8375526765522,1.5639596210813155e-13,6.6643536083832174e-12,False
4,HET_1D_3b_gaussian_Vd300,4,11.947710174364115,1611,,134.8375526765522,0.00038760133238930635,0.028416939217284803,False
4,1D_Poisson_fS_hom,4,11.947710174364115,1611,,134.8375526765522,1.0048227571790997e-14,9.688246743783669e-14,True
4,1D_Poisson_fL_hom,4,11.947710174364115,1611,,134.8375526765522,0.0003537242762471796,0.021621310503652347,False
4,1D_Poisson_fH_hom,4,11.947710174364115,1611,,134.8375526765522,1.1559876361288233e-13,4.401782626746552e-12,False
4,1D_Poisson_fS_nonhom,8,42.137764839337706,6575,,156.03580363289487,4.127603791963754e-05,0.021214936189657394,False
4,HET_1D_3a_linear_hom,8,42.137764839337706,6575,,156.03580363289487,1.5354006384742159e-12,8.784551359919048e-11,False
4,HET_1D_3b_gaussian_Vd300,8,42.137764839337706,6575,,156.03580363289487,0.00010980739399995492,0.007642199919566952,False
4,1D_Poisson_fS_hom,8,42.137764839337706,6575,,156.03580363289487,8.515370517225729e-14,4.5079044946167324e-13,True
4,1D_Poisson_fL_hom,8,42.137764839337706,6575,,156.03580363289487,0.00011030983775634761,0.007762794352961473,False
4,1D_Poisson_fH_hom,8,42.137764839337706,6575,,156.03580363289487,8.127175028309208e-13,2.5641502975471426e-11,False
4,1D_Poisson_fS_nonhom,16,154.512614771818,14999,14999,97.0729802362759,6.221971032185744e-12,6.551928196724733e-10,False
4,HET_1D_3a_linear_hom,16,154.512614771818,14999,14999,97.0729802362759,3.5336051535674498e-12,1.415122035446182e-10,False
4,HET_1D_3b_gaussian_Vd300,16,154.512614771818,14999,14999,97.0729802362759,4.262144075651291e-12,2.557674553795985e-10,False
4,1D_Poisson_fS_hom,16,154.512614771818,14999,14999,97.0729802362759,7.247185893681179e-13,8.927455186414469e-13,True
4,1D_Poisson_fL_hom,16,154.512614771818,14999,14999,97.0729802362759,5.2071621159779296e-12,3.241142382594721e-10,False
4,1D_Poisson_fH_hom,16,154.512614771818,14999,14999,97.0729802362759,1.7282071219252205e-12,4.177324203767833e-11,False
4,1D_Poisson_fS_nonhom,32,586.8093155218731,14999,14999,25.56026225769914,3.804123291818813e-11,2.789563953439264e-09,False
4,HET_1D_3a_linear_hom,32,586.8093155218731,14999,14999,25.56026225769914,1.9594056004348358e-11,8.041028553919088e-10,False
4,HET_1D_3b_gaussian_Vd300,32,586.8093155218731,14999,14999,25.56026225769914,8.975494008805169e-12,1.6440467531987205e-10,False
4,1D_Poisson_fS_hom,32,586.8093155218731,14999,14999,25.56026225769914,3.1331379097608574e-12,7.170653893838237e-12,True
4,1D_Poisson_fL_hom,32,586.8093155218731,14999,14999,25.56026225769914,1.4370411992012758e-11,4.187314799683881e-10,False
