solver,N,z_mm,r_mm,phi
Thomas,16,25.882352941176475,3.529411764705883,258.40675431978445
Thomas,16,25.882352941176475,4.7058823529411775,250.5460482550455
Thomas,16,25.882352941176475,5.882352941176472,240.54241967195227
Thomas,16,25.882352941176475,7.058823529411766,228.48178511980515
Thomas,16,25.882352941176475,8.235294117647062,214.46757101752027
Thomas,16,25.882352941176475,9.411764705882355,198.6198346945234
Thomas,16,25.882352941176475,10.58823529411765,181.07424495100426
Thomas,16,25.882352941176475,11.764705882352944,161.9809279262902
Thomas,16,25.882352941176475,12.941176470588239,141.5031904194079
Thomas,16,25.882352941176475,14.117647058823533,119.81612949700765
Thomas,16,25.882352941176475,15.294117647058828,97.1051424956983
Thomas,16,25.882352941176475,16.470588235294123,73.56434780859453
Thomas,16,25.882352941176475,17.64705882352942,49.39493229062786
Thomas,16,25.882352941176475,18.82352941176471,24.803437343328945
Thomas,16,28.23529411764706,1.1764705882352944,238.42319412455956
Thomas,16,28.23529411764706,2.3529411764705888,235.40052269641566
Thomas,16,28.23529411764706,3.529411764705883,230.3635861874629
Thomas,16,28.23529411764706,4.7058823529411775,223.35594914617477
Thomas,16,28.23529411764706,5.882352941176472,214.43794722509557
Thomas,16,28.23529411764706,7.058823529411766,203.68617277897465
Thomas,16,28.23529411764706,8.235294117647062,191.1928282451915
Thomas,16,28.23529411764706,9.411764705882355,177.064941796298
Thomas,16,28.23529411764706,10.58823529411765,161.42345891907735
Thomas,16,28.23529411764706,11.764705882352944,144.4022133789051
Thomas,16,28.23529411764706,12.941176470588239,126.14678928923267
Thomas,16,28.23529411764706,14.117647058823533,106.81328144111215
Thomas,16,28.23529411764706,15.294117647058828,86.56696721021508
Thomas,16,28.23529411764706,16.470588235294123,65.58089855391151
Thomas,16,28.23529411764706,17.64705882352942,44.034428998531126
Thomas,16,28.23529411764706,18.82352941176471,22.11168538476603
Thomas,16,30.58823529411765,1.1764705882352944,201.27972974472013
Thomas,16,30.58823529411765,2.3529411764705888,198.72796911825805
Thomas,16,30.58823529411765,3.529411764705883,194.4757305662748
Thomas,16,30.58823529411765,4.7058823529411775,188.55979734154698
Thomas,16,30.58823529411765,5.882352941176472,181.03110772204454
Thomas,16,30.58823529411765,7.058823529411766,171.95432401018496
Thomas,16,30.58823529411765,8.235294117647062,161.40728585761238
Thomas,16,30.58823529411765,9.411764705882355,149.48034866112397
Thomas,16,30.58823529411765,10.58823529411765,136.27561647031806
Thomas,16,30.58823529411765,11.764705882352944,121.9060736348075
Thomas,16,30.58823529411765,12.941176470588239,106.49462389433216
Thomas,16,30.58823529411765,14.117647058823533,90.17304424791385
