N,backend_name,case,circuit_depth,circuit_depth_t,converged,discretisation_order,err_alg,err_disc,hhl_epsilon,hhl_scale_c,hhl_trotter_steps,kappa,max_abs_err,max_rel_err,n_gates_2q,n_gates_total,n_qubits,n_timing_repeats,notes,phase_lookup_time_s,proportionality_residual,qsvt_alpha,qsvt_angle_method,qsvt_degree,qsvt_kappa_eff,qsvt_max_degree,qsvt_phases_cached,random_seed,rel_l2_err,residual,rms_err,solver,success_probability,vqls_final_cost,vqls_n_evaluations,vqls_n_layers,vqls_n_restarts,vqls_optimiser_success,wall_time_mean_s,wall_time_s,wall_time_std_s
8,aer_simulator_statevector (CPU),1D_Poisson_fS_nonhom,,168288,True,4,0.03253574307064523,8.547885371145579e-06,0.01,3.9763166476678666,100,42.137764839337706,0.056935144694084006,4.324491440126107,40852,242744,3,1,,,0.009884049841458142,,,,,,,,0.03254387181989273,0.014420528309582245,0.047217855957286836,HHL,,,,,,,,46.081569183967076,
8,aer_simulator_statevector (CPU),1D_Poisson_fS_nonhom,,69,False,4,0.13463344091402202,8.547885371145579e-06,,,,42.137764839337706,0.265278207551205,19.728236360943207,16,134,3,1,,,0.06286399451051994,,,,,,,42,0.1346409176110718,0.026652332289278106,0.19535031015671775,VQLS,,0.0007103468164583182,9500,8,6,False,,117.19064821593929,
8,aer_simulator_statevector (CPU),1D_Poisson_fS_nonhom,13151,2452482,True,4,0.00021214936189657395,8.547885371145579e-06,,,,42.137764839337706,0.0004235190644672482,0.03149630828820587,519427,,3,1,,0.00014154310338199139,8.657300456581515e-05,61.60225275138703,auto,6575,42.137764839337706,,True,,0.00022069484173701035,4.127603791963754e-05,0.0003202058226300105,QSVT,,,,,,,,3.829618260031566,
8,aer_simulator_statevector (CPU),HET_1D_3a_linear_hom,,,True,4,0.0,2.240168791132062e-15,,,,42.137764839337706,6.071532165918825e-17,4.931992314549671e-13,,,,10,,,2.1981752921840295e-15,,,,,,,,2.240168791132062e-15,4.671543081810506e-16,2.728400744921351e-17,Thomas,,,,,,,4.408507375046611e-05,2.79709929600358e-05,3.632644677569449e-05
8,aer_simulator_statevector (CPU),HET_1D_3a_linear_hom,,168288,True,4,0.02182333530091471,2.240168791132062e-15,0.01,0.03512078877651446,100,42.137764839337706,0.0003711596998264288,2.922003649630559,40852,242744,3,1,,,0.009682632068287381,,,,,,,,0.021823335300914824,0.04334692664818397,0.00026579606200832155,HHL,,,,,,,,46.15384177095257,
8,aer_simulator_statevector (CPU),HET_1D_3a_linear_hom,,69,False,4,0.019592516972436302,2.240168791132062e-15,,,,42.137764839337706,0.0003140629279074873,6.868556233336763,16,134,3,1,,,0.019590110371335265,,,,,,,42,0.019592516972435282,0.004349330422091805,0.00023862593798328342,VQLS,,1.8916675120439486e-05,9500,8,6,False,,113.10325244895648,
8,aer_simulator_statevector (CPU),HET_1D_3a_linear_hom,13151,2452482,True,4,8.784551359919048e-13,2.240168791132062e-15,,,,42.137764839337706,1.6290788162898195e-14,1.939221439678511e-10,519427,,3,1,,0.00010696309618651867,4.825948979519776e-13,61.60225275138703,auto,6575,42.137764839337706,,True,,8.784045703019256e-13,1.5354006384742159e-12,1.069847813897523e-14,QSVT,,,,,,,,3.3566109269158915,
8,aer_simulator_statevector (CPU),HET_1D_3b_gaussian_Vd300,,,True,4,0.0,,,,,42.137764839337706,,,,,,10,reference_no_exact,,,,,,,,,,,2.048875234958449e-15,,Thomas,,,,,,,4.783235490322113e-05,2.789124846458435e-05,4.8406287648854934e-05
8,aer_simulator_statevector (CPU),HET_1D_3b_gaussian_Vd300,,168288,True,4,0.02760224328715325,,0.01,210891419.32684484,100,42.137764839337706,2369666.458096288,7.216723369903384,40852,242744,3,1,rel_vs_thomas,,0.010343733288182248,,,,,,,,0.02760224328715325,0.11869091224218371,2112227.9334325,HHL,,,,,,,,57.97920969873667,
8,aer_simulator_statevector (CPU),HET_1D_3b_gaussian_Vd300,,69,False,4,0.029269679119999094,,,,,42.137764839337706,3437227.851125419,6.777289857076113,16,134,3,1,rel_vs_thomas,,0.016138647086991573,,,,,,,42,0.029269679119999094,0.047796983931727016,2239826.422682194,VQLS,,0.0022845516729698145,9500,8,6,False,,114.5665314104408,
